Product,Parent,Nr,Typ,AltText,Url,ID
53281906,1764581,3,2,,http://bilder.afterbuy.de/images/NPZZNW/neuetikett_schwarzkuemmeloel_1L_1200x1200px_72dpi.jpg,2793846
53281906,1764581,3,3,,http://bilder.afterbuy.de/images/NPZZNW/neuetikett_schwarzkuemmeloel_1L_1200x1200px_72dpi.jpg,2793847
53281906,0,6,0,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,2960277
53281906,2960277,6,1,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,2960278
53281906,2960277,6,2,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,2960279
53281906,2960277,6,3,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,2960280
53281906,0,5,0,,http://bilder.afterbuy.de/images/NPZZNW/neuanalyse_zertifikat_bio_schwarzkuemmeloel_1200x1200_72dpi.jpg,3016475
53281906,3016475,5,1,,http://bilder.afterbuy.de/images/NPZZNW/neuanalyse_zertifikat_bio_schwarzkuemmeloel_1200x1200_72dpi.jpg,3016476
53281906,3016475,5,2,,http://bilder.afterbuy.de/images/NPZZNW/neuanalyse_zertifikat_bio_schwarzkuemmeloel_1200x1200_72dpi.jpg,3016477
53281906,3016475,5,3,,http://bilder.afterbuy.de/images/NPZZNW/neuanalyse_zertifikat_bio_schwarzkuemmeloel_1200x1200_72dpi.jpg,3016478
53283386,0,1,0,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_Bierhefe_250g_1200x1200_72dpi.jpg,2840957
53283386,2840957,1,1,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_Bierhefe_250g_1200x1200_72dpi.jpg,2840958
53283386,2840957,1,2,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_Bierhefe_250g_1200x1200_72dpi.jpg,2840959
53283386,2840957,1,3,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_Bierhefe_250g_1200x1200_72dpi.jpg,2840960
53283386,0,2,0,,http://bilder.afterbuy.de/images/NPZZNW/rohstoff_bierhef_glas_1200x1200_72dpi.jpg,2840961
53283386,0,5,0,,http://bilder.afterbuy.de/images/NPZZNW/neu_analyse_zertifikat_bierhefe_1200x1200_72dpi.jpg,2840969
53283386,2840969,5,1,,http://bilder.afterbuy.de/images/NPZZNW/neu_analyse_zertifikat_bierhefe_1200x1200_72dpi.jpg,2881004
